team,abv,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Arizona DiamondBacks,ARI,192,211,223,253,158,275,278,118,267,274,276
Atlanta Braves,ATL,253,267,266,275,336,344,382,132,443,437,425
Baltimore Orioles,BAL,198,245,239,253,252,251,256,115,251,262,264
Boston Red Sox,BOS,357,370,398,434,453,516,519,152,479,499,513
Chicago Cubs,CHC,266,302,340,434,457,452,471,163,425,443,451
Chicago White Sox,CWS,210,227,240,269,266,272,285,124,258,276,276
Cincinnati Reds,CIN,209,227,237,229,243,257,276,114,266,261,250
Cleveland Guardians,CLE,196,207,220,271,284,282,290,117,267,269,268
Colorado Rockies,COL,197,214,227,248,266,291,305,109,270,283,286
Detroit Tigers,DET,262,254,268,275,277,276,276,111,268,263,260
Houston Astros,HOU,186,175,270,299,347,368,420,126,388,398,407
Kansas City Royals,KC,178,231,273,246,245,244,251,109,263,260,260
Los Angeles Angels,LAA,253,304,312,350,334,348,377,141,331,366,371
Los Angeles Dodgers,LAD,293,403,438,462,522,549,556,185,565,577,581
Miami Marlins,MIA,159,188,199,206,219,224,222,96,240,239,238
Milwaukee Brewers,MIL,197,226,234,239,255,288,295,104,269,290,294
Minnesota Twins,MIN,221,223,240,249,261,269,297,111,268,267,267
New York Mets,NYM,238,263,313,332,336,340,362,107,302,353,374
New York Yankees,NYY,461,608,516,526,619,668,683,108,482,569,657
Oakland Athletics,OAK,187,202,208,216,210,218,225,104,208,207,212
Philadelphia Phillies,PHI,265,265,263,325,329,341,392,140,323,394,398
Pittsburgh Pirates,PIT,204,229,244,265,258,254,273,116,258,263,262
San Diego Padres,SD,207,224,244,259,266,277,269,114,282,309,324
San Francisco Giants,SF,316,387,409,428,445,462,452,151,384,412,421
Seattle Mariners,SEA,210,250,271,289,288,320,315,129,313,355,363
St Louis Cardinals,STL,283,294,300,310,319,356,383,109,287,356,358
Tampa Bay Rays,TB,181,188,193,205,219,228,264,112,252,249,248
Texas Rangers,TEX,257,266,275,298,311,324,335,111,387,373,366
Toronto Blue Jays,TOR,218,227,241,278,274,265,265,116,238,288,294
Washington Nationals,WAS,244,287,293,304,311,336,370,119,322,354,356
